DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/1/23,00:00:00,BAL,,Cash balance at the start of business day 01.08 CST,,,,"6,385.73"
8/2/23,00:00:00,BAL,,Cash balance at the start of business day 02.08 CST,,,,"6,385.73"
8/3/23,00:00:00,BAL,,Cash balance at the start of business day 03.08 CST,,,,"6,385.73"
8/4/23,00:00:00,BAL,,Cash balance at the start of business day 04.08 CST,,,,"6,385.73"
8/5/23,00:00:00,BAL,,Cash balance at the start of business day 05.08 CST,,,,"6,385.73"
8/6/23,00:00:00,BAL,,Cash balance at the start of business day 06.08 CST,,,,"6,385.73"
8/7/23,00:00:00,BAL,,Cash balance at the start of business day 07.08 CST,,,,"6,385.73"
8/7/23,10:10:27,EFN,58408455441,Client Requested Electronic Funding Receipt (Funds NOW) 10.0 US$,,,10.00,"6,395.73"
8/8/23,00:00:00,BAL,,Cash balance at the start of business day 08.08 CST,,,,"6,395.73"
8/9/23,00:00:00,BAL,,Cash balance at the start of business day 09.08 CST,,,,"6,395.73"
8/10/23,00:00:00,BAL,,Cash balance at the start of business day 10.08 CST,,,,"6,395.73"
8/11/23,00:00:00,BAL,,Cash balance at the start of business day 11.08 CST,,,,"6,395.73"
8/12/23,00:00:00,BAL,,Cash balance at the start of business day 12.08 CST,,,,"6,395.73"
8/13/23,00:00:00,BAL,,Cash balance at the start of business day 13.08 CST,,,,"6,395.73"
8/14/23,00:00:00,BAL,,Cash balance at the start of business day 14.08 CST,,,,"6,395.73"
8/15/23,00:00:00,BAL,,Cash balance at the start of business day 15.08 CST,,,,"6,395.73"
8/16/23,00:00:00,BAL,,Cash balance at the start of business day 16.08 CST,,,,"6,395.73"
8/17/23,00:00:00,BAL,,Cash balance at the start of business day 17.08 CST,,,,"6,395.73"
8/18/23,00:00:00,BAL,,Cash balance at the start of business day 18.08 CST,,,,"6,395.73"
8/19/23,00:00:00,BAL,,Cash balance at the start of business day 19.08 CST,,,,"6,395.73"
8/20/23,00:00:00,BAL,,Cash balance at the start of business day 20.08 CST,,,,"6,395.73"
8/21/23,00:00:00,BAL,,Cash balance at the start of business day 21.08 CST,,,,"6,395.73"
8/22/23,00:00:00,BAL,,Cash balance at the start of business day 22.08 CST,,,,"6,395.73"
8/23/23,00:00:00,BAL,,Cash balance at the start of business day 23.08 CST,,,,"6,395.73"
8/24/23,00:00:00,BAL,,Cash balance at the start of business day 24.08 CST,,,,"6,395.73"
8/25/23,00:00:00,BAL,,Cash balance at the start of business day 25.08 CST,,,,"6,395.73"
8/26/23,00:00:00,BAL,,Cash balance at the start of business day 26.08 CST,,,,"6,395.73"
8/27/23,00:00:00,BAL,,Cash balance at the start of business day 27.08 CST,,,,"6,395.73"
8/28/23,00:00:00,BAL,,Cash balance at the start of business day 28.08 CST,,,,"6,395.73"
8/29/23,00:00:00,BAL,,Cash balance at the start of business day 29.08 CST,,,,"6,395.73"
8/30/23,00:00:00,BAL,,Cash balance at the start of business day 30.08 CST,,,,"6,395.73"
8/31/23,00:00:00,BAL,,Cash balance at the start of business day 31.08 CST,,,,"6,395.73"
9/1/23,00:00:00,BAL,,Cash balance at the start of business day 01.09 CST,,,,"6,395.73"
9/1/23,11:04:04,EFN,59193614357,Client Requested Electronic Funding Receipt (Funds NOW) 30000.0 US$,,,"30,000.00","36,395.73"
9/2/23,00:00:00,BAL,,Cash balance at the start of business day 02.09 CST,,,,"36,395.73"
9/3/23,00:00:00,BAL,,Cash balance at the start of business day 03.09 CST,,,,"36,395.73"
9/4/23,00:00:00,BAL,,Cash balance at the start of business day 04.09 CST,,,,"36,395.73"
9/5/23,00:00:00,BAL,,Cash balance at the start of business day 05.09 CST,,,,"36,395.73"
