DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
9/1/23,00:00:00,BAL,,Cash balance at the start of business day 01.09 CST,,,,10.00
9/1/23,11:04:04,EFN,59193614357,Client Requested Electronic Funding Receipt (Funds NOW) 30000.0 US$,,,"30,000.00","30,010.00"
9/2/23,00:00:00,BAL,,Cash balance at the start of business day 02.09 CST,,,,"30,010.00"
9/3/23,00:00:00,BAL,,Cash balance at the start of business day 03.09 CST,,,,"30,010.00"
9/4/23,00:00:00,BAL,,Cash balance at the start of business day 04.09 CST,,,,"30,010.00"
9/5/23,00:00:00,BAL,,Cash balance at the start of business day 05.09 CST,,,,"30,010.00"
9/6/23,00:00:00,BAL,,Cash balance at the start of business day 06.09 CST,,,,"30,010.00"
9/7/23,00:00:00,BAL,,Cash balance at the start of business day 07.09 CST,,,,"30,010.00"
9/8/23,00:00:00,BAL,,Cash balance at the start of business day 08.09 CST,,,,"30,010.00"
9/8/23,10:22:16,TRD,11619387069,SOLD -1 TSLA 100 (Weeklys) 8 SEP 23 247.5 PUT @.25,-0.01,-0.65,25.00,"30,034.34"
9/9/23,00:00:00,BAL,,Cash balance at the start of business day 09.09 CST,,,,"30,034.34"
9/10/23,00:00:00,BAL,,Cash balance at the start of business day 10.09 CST,,,,"30,034.34"
9/11/23,00:00:00,BAL,,Cash balance at the start of business day 11.09 CST,,,,"30,034.34"
9/9/23,01:25:45,RAD,59362460707,Removal of Option due to expiration 1.0 TSLA 100 (WEEKLY) 8 Sep 2023 247.5 PUT,,,,"30,034.34"
9/11/23,11:48:37,TRD,11629272959,SOLD -1 BBY 100 15 SEP 23 71 PUT @.14,-0.01,-0.65,14.00,"30,047.68"
9/11/23,12:30:35,TRD,11629920388,SOLD -1 COIN 100 15 SEP 23 74 PUT @.26,-0.01,-0.65,26.00,"30,073.02"
9/11/23,13:35:07,TRD,11630621360,SOLD -1 CVNA 100 15 SEP 23 44 PUT @.24,-0.01,-0.65,24.00,"30,096.36"
9/11/23,13:51:02,TRD,11631322457,SOLD -1 ZM 100 15 SEP 23 69 PUT @.16,-0.01,-0.65,16.00,"30,111.70"
9/12/23,00:00:00,BAL,,Cash balance at the start of business day 12.09 CST,,,,"30,111.70"
9/13/23,00:00:00,BAL,,Cash balance at the start of business day 13.09 CST,,,,"30,111.70"
9/14/23,00:00:00,BAL,,Cash balance at the start of business day 14.09 CST,,,,"30,111.70"
9/15/23,00:00:00,BAL,,Cash balance at the start of business day 15.09 CST,,,,"30,111.70"
9/16/23,00:00:00,BAL,,Cash balance at the start of business day 16.09 CST,,,,"30,111.70"
9/17/23,00:00:00,BAL,,Cash balance at the start of business day 17.09 CST,,,,"30,111.70"
9/18/23,00:00:00,BAL,,Cash balance at the start of business day 18.09 CST,,,,"30,111.70"
9/16/23,01:32:44,RAD,59530665300,Removal of Option due to expiration 1.0 COIN 100 15 Sep 2023 74.0 PUT,,,,"30,111.70"
9/16/23,01:57:23,RAD,59530665402,Removal of Option due to expiration 1.0 ZM 100 15 Sep 2023 69.0 PUT,,,,"30,111.70"
9/16/23,02:02:04,RAD,59530665418,Removal of Option due to expiration 1.0 BBY 100 15 Sep 2023 71.0 PUT,,,,"30,111.70"
9/16/23,02:19:30,RAD,59530665455,Removal of Option due to expiration 1.0 CVNA 100 15 Sep 2023 44.0 PUT,,,,"30,111.70"
9/18/23,08:36:41,TRD,11669515810,SOLD -1 CVNA 100 (Weeklys) 22 SEP 23 46.5 PUT @.33,-0.01,-0.65,33.00,"30,144.04"
9/18/23,08:37:33,TRD,11669515891,SOLD -1 COIN 100 (Weeklys) 22 SEP 23 75 PUT @.35,-0.01,-0.65,35.00,"30,178.38"
9/18/23,08:45:32,TRD,11669516539,SOLD -1 ORCL 100 (Weeklys) 22 SEP 23 110 PUT @.34,-0.01,-0.65,34.00,"30,211.72"
9/18/23,08:47:04,TRD,11669516627,SOLD -1 ZM 100 (Weeklys) 22 SEP 23 67 PUT @.20,-0.01,-0.65,20.00,"30,231.06"
9/19/23,00:00:00,BAL,,Cash balance at the start of business day 19.09 CST,,,,"30,231.06"
9/20/23,00:00:00,BAL,,Cash balance at the start of business day 20.09 CST,,,,"30,231.06"
9/21/23,00:00:00,BAL,,Cash balance at the start of business day 21.09 CST,,,,"30,231.06"
9/22/23,00:00:00,BAL,,Cash balance at the start of business day 22.09 CST,,,,"30,231.06"
9/22/23,12:33:03,TRD,11703170998,SOLD -1 CALENDAR CVNA 100 (Quarterlys) 29 SEP 23/22 SEP 23 46.5 PUT @.75,-0.02,-1.30,75.00,"30,304.74"
9/23/23,00:00:00,BAL,,Cash balance at the start of business day 23.09 CST,,,,"30,304.74"
9/24/23,00:00:00,BAL,,Cash balance at the start of business day 24.09 CST,,,,"30,304.74"
9/25/23,00:00:00,BAL,,Cash balance at the start of business day 25.09 CST,,,,"30,304.74"
9/22/23,23:41:18,RAD,59690095569,Removal of Option due to assignment 1.0 COIN 100 (WEEKLY) 22 Sep 2023 75.0 PUT,,,,"30,304.74"
9/22/23,23:41:18,EXP,59690095570,BOT 100.0 COIN UPON Option Assignment,,,"-7,500.00","22,804.74"
9/22/23,23:41:18,RAD,59690095573,Removal of Option due to assignment 1.0 ORCL 100 (WEEKLY) 22 Sep 2023 110.0 PUT,,,,"22,804.74"
9/22/23,23:41:18,EXP,59690095574,BOT 100.0 ORCL UPON Option Assignment,,,"-11,000.00","11,804.74"
9/22/23,23:41:29,RAD,59690095619,Removal of Option due to expiration 1.0 ZM 100 (WEEKLY) 22 Sep 2023 67.0 PUT,,,,"11,804.74"
9/25/23,07:56:01,TRD,11706406381,SOLD -1 COIN 100 (Quarterlys) 29 SEP 23 75 CALL @.95,-0.01,-0.65,95.00,"11,899.08"
9/25/23,08:24:00,TRD,11707887214,SOLD -1 W 100 (Quarterlys) 29 SEP 23 53 PUT @.27,-0.01,-0.65,27.00,"11,925.42"
9/25/23,12:40:42,TRD,11711209077,SOLD -1 ORCL 100 (Quarterlys) 29 SEP 23 110 CALL @.46,-0.01,-0.65,46.00,"11,970.76"
9/26/23,00:00:00,BAL,,Cash balance at the start of business day 26.09 CST,,,,"11,970.76"
9/27/23,00:00:00,BAL,,Cash balance at the start of business day 27.09 CST,,,,"11,970.76"
9/28/23,00:00:00,BAL,,Cash balance at the start of business day 28.09 CST,,,,"11,970.76"
9/29/23,00:00:00,BAL,,Cash balance at the start of business day 29.09 CST,,,,"11,970.76"
9/29/23,12:24:49,TRD,11743289696,SOLD -1 DIAGONAL CVNA 100 (Weeklys) 6 OCT 23/29 SEP 23 46/46.5 PUT @.17,-0.02,-1.30,17.00,"11,986.44"
9/29/23,20:23:36,RAD,59850997359,Cash Alternatives Interest 3.27 MMDA1,,,3.27,"11,989.71"
9/29/23,20:49:48,DOI,59852857608,Free Balance Interest Adjustment 3.36 US$,,,3.36,"11,993.07"
9/30/23,00:00:00,BAL,,Cash balance at the start of business day 30.09 CST,,,,"11,993.07"
10/1/23,00:00:00,BAL,,Cash balance at the start of business day 01.10 CST,,,,"11,993.07"
10/2/23,00:00:00,BAL,,Cash balance at the start of business day 02.10 CST,,,,"11,993.07"
9/30/23,01:03:06,RAD,59854590060,Removal of Option due to assignment 1.0 COIN 100 (QUARTERLY) 29 Sep 2023 75.0 CALL,,,,"11,993.07"
9/30/23,01:03:06,EXP,59854590061,Automatic Expiration,-0.07,,"7,500.00","19,493.00"
9/30/23,01:23:14,RAD,59854590134,Removal of Option due to expiration 1.0 ORCL 100 (QUARTERLY) 29 Sep 2023 110.0 CALL,,,,"19,493.00"
