Stock quote and option quote for PLTR on 4/4/25 14:50:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
74.0099,D,-9.5901,73.99,Q,74.00,Q,2 x 2,"135,205,902",80.07,80.98,71.9303

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"2,000",<empty>,389.5,<empty>,--,,125.41,20.33,"2,345,356,506",2.068

4 APR 25  (0)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,--,0.00%,100.00%,1.00,25,<empty>,32.50,Z,35.20,Z,4 APR 25,40,0,Z,.01,X,2754.30%,99.78%,0.22%,.00,2,0.01%,,
,,3656.09%,4.81%,95.19%,.97,1,<empty>,28.25,B,30.20,Z,4 APR 25,45,0,Z,.01,B,2257.34%,99.77%,0.23%,.00,<empty>,0.01%,,
,,--,0.00%,100.00%,1.00,6,<empty>,22.55,Z,25.15,B,4 APR 25,50,0,U,.01,H,1809.36%,99.74%,0.26%,.00,22,0.01%,,
,,2669.21%,8.52%,91.48%,.94,59,<empty>,18.70,B,20.10,B,4 APR 25,55,0,X,.01,N,1399.46%,99.71%,0.29%,.00,1,0.01%,,
,,1815.68%,7.20%,92.80%,.94,148,<empty>,13.75,B,14.75,B,4 APR 25,60,0,Q,.01,H,1018.89%,99.64%,0.36%,.00,"1,025",0.01%,,
,,1737.76%,7.98%,92.02%,.94,1,<empty>,12.70,B,13.85,B,4 APR 25,61,0,H,.01,H,945.59%,99.62%,0.38%,.00,6,0.01%,,
,,1621.33%,8.32%,91.68%,.93,56,<empty>,11.70,B,12.85,B,4 APR 25,62,0,H,.01,P,873.08%,99.60%,0.40%,.00,92,0.01%,,
,,1628.34%,10.62%,89.38%,.91,<empty>,<empty>,10.70,Q,12.05,B,4 APR 25,63,0,D,.01,D,801.28%,99.57%,0.43%,.00,290,0.01%,,
,,1450.51%,10.20%,89.80%,.92,1,<empty>,9.85,B,10.80,B,4 APR 25,64,0,N,.01,U,730.11%,99.54%,0.46%,.00,"1,615",0.01%,,
,,1244.73%,9.14%,90.86%,.92,188,<empty>,8.85,B,9.65,B,4 APR 25,65,0,Z,.01,Q,659.50%,99.50%,0.50%,.00,"6,970",0.01%,,
,,1159.75%,10.34%,89.66%,.91,11,<empty>,7.70,S,8.85,P,4 APR 25,66,0,N,.01,E,589.33%,99.46%,0.54%,.00,"1,184",0.01%,,
,,1017.50%,10.48%,89.52%,.91,21,<empty>,6.70,Q,7.80,B,4 APR 25,67,0,W,.18,B,802.50%,94.62%,5.38%,-.05,921,0.13%,,
,,1080.92%,15.99%,84.01%,.86,7,<empty>,5.70,S,7.20,B,4 APR 25,68,0,M,.01,M,449.85%,99.33%,0.67%,-.01,"2,614",0.01%,,
,,712.69%,10.15%,89.85%,.91,82,<empty>,4.75,B,5.60,B,4 APR 25,69,0,A,.01,Q,380.21%,99.23%,0.77%,-.01,"2,974",0.01%,,
,,519.47%,8.12%,91.88%,.92,"1,930",<empty>,3.95,M,4.25,B,4 APR 25,70,0,M,.01,H,310.29%,99.09%,0.91%,-.01,"17,515",0.01%,,
,,387.32%,8.07%,91.93%,.92,610,<empty>,2.95,M,3.20,M,4 APR 25,71,.01,P,.02,Q,281.98%,97.34%,2.66%,-.03,"6,033",0.02%,,
,,350.15%,15.32%,84.68%,.85,"3,092",<empty>,2.01,N,2.29,M,4 APR 25,72,.03,T,.05,E,243.58%,93.06%,6.94%,-.07,"19,659",0.06%,,
,,486.30%,36.24%,63.76%,.65,"3,892",<empty>,.99,M,2.31,M,4 APR 25,73,.11,B,.16,B,215.61%,79.60%,20.40%,-.20,"31,868",0.19%,,
,,192.82%,50.28%,49.72%,.50,"8,338",<empty>,.39,I,.47,I,4 APR 25,74,.38,B,.46,U,188.42%,49.72%,50.28%,-.50,"18,893",0.57%,,
,,171.56%,85.14%,14.86%,.15,"16,221",<empty>,.05,E,.10,T,4 APR 25,75,1.02,B,1.32,M,234.33%,22.15%,77.85%,-.77,"32,432",1.58%,,
