,DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
3,1/3/25,08:30:16,TRD,1002516637119.0,BOT +2 MSTR 100 (Weeklys) 3 JAN 25 250 PUT @.11 CBOE,-0.02,-1.3,-22.00,"52,349.79"
4,1/3/25,09:59:38,TRD,1002537533036.0,SOLD -2 MSTR 100 (Weeklys) 10 JAN 25 270 PUT @2.00 CBOE,-0.04,-1.3,400.00,"52,748.45"
8,1/6/25,08:36:18,TRD,1002543611445.0,SOLD -2 W 100 17 JAN 25 50 CALL @.79 CBOE,-0.03,-1.3,158.00,"52,905.12"
13,1/10/25,09:41:26,TRD,1002568412405.0,BOT +2 MSTR 100 (Weeklys) 10 JAN 25 270 PUT @.08,-0.02,-1.3,-16.00,"52,887.80"
14,1/10/25,09:50:44,TRD,1002571816824.0,SOLD -2 MSTR 100 17 JAN 25 270 PUT @2.76 CBOE,-0.05,-1.3,552.00,"53,438.45"
15,1/10/25,14:39:07,TRD,1002576205076.0,SOLD -2 DIAGONAL W 100 (Weeklys) 24 JAN 25/17 JAN 25 46/50 CALL @1.15 CBOE,-0.06,-2.6,230.00,"53,665.79"
21,1/15/25,14:09:46,TRD,1002571816825.0,BOT +1 MSTR 100 17 JAN 25 270 PUT @.25 CBOE,-0.01,-0.65,-25.00,"53,640.13"
22,1/15/25,14:10:05,TRD,1002571816825.0,BOT +1 MSTR 100 17 JAN 25 270 PUT @.25 CBOE,-0.01,-0.65,-25.00,"53,614.47"
23,1/15/25,14:39:43,TRD,1002600384334.0,SOLD -2 MSTR 100 (Weeklys) 24 JAN 25 290 PUT @2.15 MIAX,-0.04,-1.3,430.00,"54,043.13"
31,1/22/25,11:59:35,TRD,1002600384335.0,BOT +2 MSTR 100 (Weeklys) 24 JAN 25 290 PUT @.21 CBOE,-0.02,-1.3,-42.00,"53,999.81"
32,1/22/25,12:09:17,TRD,1002631665297.0,SOLD -1 MSTR 100 (Weeklys) 31 JAN 25 300 PUT @1.99 CBOE,-0.02,-0.65,199.00,"54,198.14"
33,1/22/25,12:09:46,TRD,1002631665309.0,SOLD -1 MSTR 100 (Weeklys) 31 JAN 25 290 PUT @1.56 CBOE,-0.01,-0.65,156.00,"54,353.48"
45,1/30/25,13:56:27,TRD,1002631665298.0,BOT +1 MSTR 100 (Weeklys) 31 JAN 25 300 PUT @.20 CBOE,-0.01,-0.65,-20.00,"86,112.53"
46,1/30/25,14:17:21,TRD,1002631665310.0,BOT +1 MSTR 100 (Weeklys) 31 JAN 25 290 PUT @.16 CBOE,-0.01,-0.65,-16.00,"86,095.87"
49,1/31/25,12:51:16,TRD,1002692445269.0,SOLD -1 COIN 100 (Weeklys) 7 FEB 25 260 PUT @1.16,-0.01,-0.65,116.00,"86,213.47"
50,1/31/25,12:52:36,TRD,1002692445302.0,SOLD -1 COIN 100 (Weeklys) 7 FEB 25 255 PUT @.89 CBOE,-0.01,-0.65,89.00,"86,301.81"
59,2/7/25,08:30:02,TRD,1002692445303.0,BOT +1 COIN 100 (Weeklys) 7 FEB 25 255 PUT @.09 PHLX,-0.01,-0.65,-9.00,"81,292.15"
60,2/7/25,08:31:45,TRD,1002692445334.0,BOT +1 COIN 100 (Weeklys) 7 FEB 25 260 PUT @.16 PHLX,-0.01,-0.65,-16.00,"81,275.49"
61,2/7/25,09:39:09,TRD,1002733021762.0,SOLD -1 MSTR 100 (Weeklys) 14 FEB 25 295 PUT @1.97 CBOE,-0.02,-0.65,197.00,"81,471.82"
62,2/7/25,09:39:48,TRD,1002733021786.0,SOLD -1 MSTR 100 (Weeklys) 14 FEB 25 290 PUT @1.59,-0.01,-0.65,159.00,"81,630.16"
63,2/7/25,10:13:48,TRD,1002734011663.0,SOLD -1 PLTR 100 (Weeklys) 14 FEB 25 105 PUT @1.16 CBOE,-0.01,-0.65,116.00,"81,745.50"
64,2/7/25,10:14:42,TRD,1002734011709.0,SOLD -1 PLTR 100 (Weeklys) 14 FEB 25 105 PUT @1.20 CBOE,-0.01,-0.65,120.00,"81,864.84"
71,2/13/25,08:33:11,TRD,1002734011710.0,BOT +1 PLTR 100 (Weeklys) 14 FEB 25 105 PUT @.12,-0.01,-0.65,-12.00,"81,852.18"
72,2/13/25,08:33:13,TRD,1002734011664.0,BOT +1 PLTR 100 (Weeklys) 14 FEB 25 105 PUT @.12 CBOE,-0.01,-0.65,-12.00,"81,839.52"
