DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
9/19/25,00:00:00,BAL,,Cash balance at the start of business day 19.09 CST,,,,"56,552.20"
9/19/25,12:20:58,TRD,1004200569489,BOT +1 VERTICAL AAPL 100 19 SEP 25 222.5/225 CALL @2.48 CBOE,-0.02,-1.30,-248.00,"56,302.88"
9/19/25,14:09:19,TRD,1004202553611,SOLD -1 VERTICAL GOOGL 100 (Weeklys) 26 SEP 25 252.5/250 PUT @.84 CBOE,-0.02,-1.30,84.00,"56,385.56"
9/19/25,14:10:48,TRD,1004202553343,SOLD -1 VERTICAL AAPL 100 (Weeklys) 26 SEP 25 245/247.5 CALL @1.19 CBOE,-0.02,-1.30,119.00,"56,503.24"
9/20/25,00:00:00,BAL,,Cash balance at the start of business day 20.09 CST,,,,"56,503.24"
9/21/25,00:00:00,BAL,,Cash balance at the start of business day 21.09 CST,,,,"56,503.24"
9/22/25,00:00:00,BAL,,Cash balance at the start of business day 22.09 CST,,,,"56,503.24"
9/23/25,00:00:00,BAL,,Cash balance at the start of business day 23.09 CST,,,,"56,503.24"
9/24/25,00:00:00,BAL,,Cash balance at the start of business day 24.09 CST,,,,"56,503.24"
9/25/25,00:00:00,BAL,,Cash balance at the start of business day 25.09 CST,,,,"56,503.24"
9/26/25,00:00:00,BAL,,Cash balance at the start of business day 26.09 CST,,,,"56,503.24"
9/26/25,10:00:04,TRD,1004254392080,SOLD -1 NVDA 100 (Weeklys) 3 OCT 25 165 PUT @.59 PHLX,-0.01,-0.65,59.00,"56,561.58"
9/26/25,10:01:11,TRD,1004254392158,SOLD -1 PLTR 100 (Weeklys) 3 OCT 25 160 PUT @.88 MIAX,-0.01,-0.65,88.00,"56,648.92"
9/26/25,10:10:44,TRD,1004254392740,SOLD -1 NVDA 100 (Weeklys) 3 OCT 25 167.5 PUT @.80 PHLX,-0.01,-0.65,80.00,"56,728.26"
9/26/25,14:45:05,TRD,1004259441771,BOT +1 VERTICAL AAPL 100 (Weeklys) 26 SEP 25 245/247.5 CALL @2.50 CBOE,-0.02,-1.30,-250.00,"56,476.94"
9/26/25,14:45:21,TRD,1004259441799,BOT +1 VERTICAL GOOGL 100 (Weeklys) 26 SEP 25 252.5/250 PUT @2.53 ISE,-0.02,-1.30,-253.00,"56,222.62"
9/27/25,00:00:00,BAL,,Cash balance at the start of business day 27.09 CST,,,,"56,222.62"
9/28/25,00:00:00,BAL,,Cash balance at the start of business day 28.09 CST,,,,"56,222.62"
9/29/25,00:00:00,BAL,,Cash balance at the start of business day 29.09 CST,,,,"56,222.62"
9/29/25,19:15:01,DOI,103770611336,SCHWAB1 INT 08/28-09/28 2.56 US$,,,2.56,"56,225.18"
9/30/25,00:00:00,BAL,,Cash balance at the start of business day 30.09 CST,,,,"56,225.18"
10/1/25,00:00:00,BAL,,Cash balance at the start of business day 01.10 CST,,,,"56,225.18"
10/1/25,09:35:58,TRD,1004267945312,BOT +1 NVDA 100 (Weeklys) 3 OCT 25 167.5 PUT @.08 CBOE,-0.01,-0.65,-8.00,"56,216.52"
10/1/25,09:43:07,TRD,1004267945297,BOT +1 NVDA 100 (Weeklys) 3 OCT 25 165 PUT @.06 CBOE,-0.01,-0.65,-6.00,"56,209.86"
