,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PLTR250207C00040000,2025-01-31 20:45:12+00:00,40.0,42.63,42.25,43.05,2.5300026,6.3092337,69.0,78,2.7851592871093755,True,REGULAR,USD
1,PLTR250207C00045000,2025-01-31 20:51:58+00:00,45.0,38.39,36.55,37.9,3.1499977,8.938699,15.0,77,2.80469048828125,True,REGULAR,USD
2,PLTR250207C00049500,2025-01-29 20:13:20+00:00,49.5,30.5,32.1,33.75,30.5,,,2,2.7734405664062503,True,REGULAR,USD
3,PLTR250207C00050000,2025-01-31 20:46:56+00:00,50.0,33.0,31.55,33.15,1.1800003,3.7083604,93.0,253,2.6386752783203127,True,REGULAR,USD
4,PLTR250207C00051000,2025-01-31 20:31:07+00:00,51.0,31.39,30.45,32.25,31.39,,9.0,3,2.6386752783203127,True,REGULAR,USD
5,PLTR250207C00052000,2025-01-28 17:29:32+00:00,52.0,28.15,29.45,31.3,28.15,,,1,2.5918003955078124,True,REGULAR,USD
6,PLTR250207C00053000,2025-01-31 14:37:01+00:00,53.0,29.5,28.45,29.95,29.5,,1.0,40,2.1972701318359373,True,REGULAR,USD
7,PLTR250207C00055000,2025-01-31 20:39:50+00:00,55.0,27.66,26.6,28.3,1.2600002,4.7727284,99.0,261,2.333988540039062,True,REGULAR,USD
8,PLTR250207C00056000,2025-01-31 19:02:27+00:00,56.0,28.9,26.4,27.1,4.049999,16.297783,6.0,52,1.75000125,True,REGULAR,USD
9,PLTR250207C00057000,2025-01-31 20:48:52+00:00,57.0,26.24,25.45,26.1,1.9499989,8.02799,9.0,19,1.7109389453125,True,REGULAR,USD
10,PLTR250207C00058000,2025-01-31 18:22:55+00:00,58.0,27.1,24.6,25.05,3.3999996,14.34599,4.0,80,1.6992202539062502,True,REGULAR,USD
11,PLTR250207C00059000,2025-01-31 19:17:36+00:00,59.0,25.15,22.75,24.1,3.75,17.523365,2.0,16,1.8671881640625,True,REGULAR,USD
12,PLTR250207C00060000,2025-01-31 20:39:08+00:00,60.0,22.9,22.35,23.25,1.3999996,6.5116262,102.0,474,1.537111689453125,True,REGULAR,USD
13,PLTR250207C00061000,2025-01-31 20:20:19+00:00,61.0,21.85,20.95,22.5,0.80000114,3.8004808,15.0,125,1.3906280468749999,True,REGULAR,USD
14,PLTR250207C00062000,2025-01-31 20:14:00+00:00,62.0,20.5,20.8,21.2,1.7000008,9.042558,58.0,99,1.57422087890625,True,REGULAR,USD
15,PLTR250207C00063000,2025-01-31 20:57:35+00:00,63.0,20.2,18.95,20.25,1.0,5.208333,100.0,59,1.1015669921875002,True,REGULAR,USD
16,PLTR250207C00064000,2025-01-31 20:50:01+00:00,64.0,19.65,18.0,21.1,1.6000004,8.864268,16.0,118,1.7568371533203124,True,REGULAR,USD
17,PLTR250207C00065000,2025-01-31 20:58:14+00:00,65.0,18.3,17.35,18.35,1.2199993,7.142853,118.0,697,1.255863095703125,True,REGULAR,USD
18,PLTR250207C00066000,2025-01-31 19:47:24+00:00,66.0,17.67,16.7,17.9,1.7200003,10.783701,16.0,408,1.47265888671875,True,REGULAR,USD
