,DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
2,1/2/24,09:47:08,TRD,1000113297059.0,SOLD -1 DIAGONAL CVNA 100 17 JAN 25/5 JAN 24 45/30 CALL @1.27 CBOE,-0.04,-1.3,127.00,"38,846.96"
3,1/2/24,10:23:19,TRD,1000113297315.0,SOLD -1 AAPL 100 (Weeklys) 12 JAN 24 175 PUT @.21 CBOE,-0.01,-0.65,21.00,"38,867.30"
4,1/2/24,10:25:55,TRD,1000113297338.0,SOLD -1 AMZN 100 (Weeklys) 12 JAN 24 139 PUT @.21 MIAX,-0.01,-0.65,21.00,"38,887.64"
5,1/2/24,10:27:47,TRD,1000113297347.0,SOLD -1 GOOGL 100 (Weeklys) 12 JAN 24 129 PUT @.21 CBOE,-0.01,-0.65,21.00,"38,907.98"
6,1/2/24,10:32:57,TRD,1000113297404.0,BOT +1 AAPL 100 (Weeklys) 12 JAN 24 175 PUT @.20 CBOE,-0.01,-0.65,-20.00,"38,887.32"
7,1/2/24,11:30:08,TRD,1000113297831.0,SOLD -1 AAPL 100 (Weeklys) 12 JAN 24 175 PUT @.18 CBOE,-0.01,-0.65,18.00,"38,904.66"
9,1/3/24,14:29:29,TRD,1000116813311.0,SOLD -1 CALENDAR MRNA 100 21 JUN 24/5 JAN 24 75 CALL @5.08 CBOE,-0.05,-1.3,508.00,"39,411.31"
12,1/5/24,11:26:47,TRD,1000121893771.0,BOT +1 DIAGONAL CVNA 100 17 JAN 25/17 MAY 24 45/30 CALL @-2.01 CBOE,-0.04,-1.3,201.00,"39,610.97"
17,1/9/24,11:45:17,TRD,1000113297348.0,BOT +1 GOOGL 100 (Weeklys) 12 JAN 24 129 PUT @.02 CBOE,-0.01,,-2.00,"39,608.96"
19,1/10/24,09:25:09,TRD,1000113297339.0,BOT +1 AMZN 100 (Weeklys) 12 JAN 24 139 PUT @.02 CBOE,-0.01,,-2.00,"39,606.95"
20,1/10/24,13:39:47,TRD,1000132909593.0,SOLD -1 GOOGL 100 19 JAN 24 136 PUT @.20,-0.01,-0.65,20.00,"39,626.29"
21,1/10/24,13:49:40,TRD,1000113297832.0,BOT +1 AAPL 100 (Weeklys) 12 JAN 24 175 PUT @.02,-0.01,,-2.00,"39,624.28"
22,1/10/24,14:11:10,TRD,1000133568078.0,SOLD -1 AMZN 100 19 JAN 24 146 PUT @.19 CBOE,-0.01,-0.65,19.00,"39,642.62"
24,1/11/24,09:49:43,TRD,1000135736662.0,SOLD -1 ORCL 100 19 JAN 24 100 PUT @.14,-0.01,-0.65,14.00,"39,655.96"
26,1/12/24,14:44:52,TRD,1000139433046.0,SOLD -1 W 100 19 JAN 24 45 PUT @.18 CBOE,-0.01,-0.65,18.00,"39,673.30"
33,1/17/24,10:38:56,TRD,1000135736663.0,BOT +1 ORCL 100 19 JAN 24 100 PUT @.02 CBOE,-0.01,,-2.00,"39,686.17"
34,1/17/24,13:25:10,TRD,1000144808060.0,SOLD -1 ORCL 100 (Weeklys) 26 JAN 24 102 PUT @.25 NASDAQ,-0.01,-0.65,25.00,"39,710.51"
36,1/18/24,09:36:56,TRD,1000132909612.0,BOT +1 GOOGL 100 19 JAN 24 136 PUT @.02 CBOE,-0.01,,-2.00,"39,708.50"
37,1/18/24,13:54:59,TRD,1000133568079.0,BOT +1 AMZN 100 19 JAN 24 146 PUT @.02 CBOE,-0.01,,-2.00,"39,706.49"
38,1/18/24,14:16:33,TRD,1000147406740.0,SOLD -1 AAPL 100 (Weeklys) 26 JAN 24 182.5 PUT @.38,-0.01,-0.65,38.00,"39,743.83"
40,1/19/24,08:30:14,TRD,1000139433047.0,BOT +1 W 100 19 JAN 24 45 PUT @.01 CBOE,-0.01,,-1.00,"39,742.82"
41,1/19/24,10:35:05,TRD,1000149445858.0,SOLD -2 PYPL 100 (Weeklys) 26 JAN 24 59 PUT @.24,-0.03,-1.3,48.00,"39,789.49"
45,1/22/24,10:06:44,TRD,1000147406741.0,BOT +1 AAPL 100 (Weeklys) 26 JAN 24 182.5 PUT @.04 CBOE,-0.01,,-4.00,"39,785.48"
46,1/22/24,14:42:26,TRD,1000154117937.0,SOLD -1 AAPL 100 (Weeklys) 2 FEB 24 185 PUT @1.03 CBOE,-0.01,-0.65,103.00,"39,887.82"
48,1/23/24,08:32:25,TRD,1000144808061.0,BOT +1 ORCL 100 (Weeklys) 26 JAN 24 102 PUT @.02 CBOE,-0.01,,-2.00,"39,885.81"
49,1/23/24,11:05:01,TRD,1000156480632.0,SOLD -2 PYPL 100 (Weeklys) 2 FEB 24 59 PUT @.34 CBOE,-0.03,-1.3,68.00,"39,952.48"
53,1/26/24,09:30:08,TRD,1000149445859.0,BOT +2 PYPL 100 (Weeklys) 26 JAN 24 59 PUT @.02 CBOE,-0.02,,-4.00,"39,948.46"
54,1/26/24,10:38:43,TRD,1000165424415.0,SOLD -2 PYPL 100 (Weeklys) 2 FEB 24 58 PUT @.24 CBOE,-0.03,-1.3,48.00,"39,995.13"
60,1/31/24,13:45:06,TRD,1000160060030.0,BOT +2 PYPL 100 (Weeklys) 2 FEB 24 59 PUT @.03 PHLX,-0.02,,-6.00,"39,989.11"
61,1/31/24,13:46:34,TRD,1000165424416.0,BOT +2 PYPL 100 (Weeklys) 2 FEB 24 58 PUT @.02 CBOE,-0.02,,-4.00,"39,985.09"
64,2/2/24,08:57:52,TRD,1000179634925.0,SOLD -1 CALENDAR AAPL 100 (Weeklys) 9 FEB 24/2 FEB 24 185 PUT @1.05 ISE,-0.02,-1.3,105.00,"40,088.77"
71,2/8/24,12:58:37,TRD,1000195438538.0,SOLD -2 MANU 100 16 FEB 24 18 PUT @.60,-0.03,-1.3,120.00,"40,207.44"
72,2/8/24,14:56:06,TRD,1000195439146.0,BOT +1 AAPL 100 (Weeklys) 9 FEB 24 185 PUT @.13 CBOE,-0.01,-0.65,-13.00,"40,193.78"
