index,sentence,context,regex_matches,fuzzy_matches,semantic_matches,cluster_label,match_category
26,I,FINNEGANS  WAKE I 5  i.^'^',,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
62,I,"4 I next  to  nothing  and  celescalating  the  himals  and  all,  hierarchite(>      o  UJtlk^ 
titiptitoploftical,  with  a  burning  bush  abob  off  its  baubletop  and 
with  larrons  o'toolers  clittering  up  and  tombles  a'buckets  clotter- 
ing  down.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
305,I,"Our  pigeons  pair  are  flewn  for  northcliffs. I The  three  of  crows  have  flapped  it  southenly,  kraaking  of  de 
baccle  to  the  kvarters  of  that  sky  whence  triboos  answer;",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
326,"How  bootifuU  and  how  truetowife  of  her,  when  strengly  fore- 
bidden,  to  steal  our  historic  presents  from  the  past  postpropheti- 
cals  so  as  to  will  make  us  all  lordy  heirs  and  ladymaidesses  of  a 
pretty  nice  kettle  of  fruit.","Slain. How  bootifuU  and  how  truetowife  of  her,  when  strengly  fore- 
bidden,  to  steal  our  historic  presents  from  the  past  postpropheti- 
cals  so  as  to  will  make  us  all  lordy  heirs  and  ladymaidesses  of  a 
pretty  nice  kettle  of  fruit. She  is  livving  in  our  midst  of  debt  and 
laffing  through  all  plores  for  us  (her  birth  is  uncontrollable),  with 
a  naperon  for  her  mask  and  her  sabboes  kickin  arias  (so  sair!",,ladyman(86),,2,role
434,M,"Since  the  bouts  of  Hebear 
and  Hairyman  the  cornflowers  have  been  staying  at  Ballymun, M the  duskrose  has  choosed  out  Goatstown*s  hedges,  twolips  have 
pressed  togatherthem  by  sweet  Rush,  townland  of  twinedlights, 
the  whitethorn  and  the  redthorn  have  fairygeyed  the  mayvalleys 
of  Knockmaroon,  and,  though  for  rings  round  them,  during  a 
chiliad  of  perihelygangs,  the  Formoreans  have  brittled  the  too- 
ath  of  the  Danes  and  the  Oxman  has  been  pestered  by  the  Fire- 
bugs and  the  Joynts  have  thrown  up  jerrybuilding  to  the  Kevan- 
ses  and  Litde  on  the  Green  is  childsfather  to  the  City  (Year!",,gender reassignment(100); become a woman(100); become a man(100); born a woman(100); born a man(100); hermaphrodite(100); manhood(100); womanhood(100); dressed as a man(100); dressed as a woman(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); ambiguous gender(100),,3,"physical, role"
896,I,26 I after  Tom  Bowe  Glassarse  or  Timmy  the  Tosser.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
931,I,The  sternwheel's  crawling  strong. I 27,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
988,"Now  (to  forebare  for  ever  solittle  of  Iris  Trees  and  Lili  O'Ran- 
gans),  concerning  the  genesis  of  Harold  or  Humphrey  Chimp- 
den's  occupational  agnomen  (we  are  back  in  the  presurnames 
prodromarith  period,  of  course  just  when  enos  chalked  halltraps) 
and  discarding  once  for  all  those  theories  from  older  sources  which 
would  link  him  back  with  such  pivotal  ancestors  as  the  Glues,  the 
Gravys,  the  Northeasts,  the  Ankers  and  the  Earwickers  of  Sidles- 
ham  in  the  Hundred  of  <mark>Manhood</mark>  or  proclaim  him  ofFsprout  of 
vikings  who  had  founded  wapentake  and  seddled  hem  in  Herrick 
or  Eric,  the  best  authenticated  version,  the  Dumlat,  read  the 
Reading  of  Hofed-ben-Edar,  has  it  that  it  was  this  way.","29 Now  (to  forebare  for  ever  solittle  of  Iris  Trees  and  Lili  O'Ran- 
gans),  concerning  the  genesis  of  Harold  or  Humphrey  Chimp- 
den's  occupational  agnomen  (we  are  back  in  the  presurnames 
prodromarith  period,  of  course  just  when  enos  chalked  halltraps) 
and  discarding  once  for  all  those  theories  from  older  sources  which 
would  link  him  back  with  such  pivotal  ancestors  as  the  Glues,  the 
Gravys,  the  Northeasts,  the  Ankers  and  the  Earwickers  of  Sidles- 
ham  in  the  Hundred  of  Manhood  or  proclaim  him  ofFsprout  of 
vikings  who  had  founded  wapentake  and  seddled  hem  in  Herrick 
or  Eric,  the  best  authenticated  version,  the  Dumlat,  read  the 
Reading  of  Hofed-ben-Edar,  has  it  that  it  was  this  way. We  are 
told  how  in  the  beginning  it  came  to  pass  that  like  cabbaging 
Cincinnatus  the  grand  old  gardener  was  saving  daylight  under  his 
redwoodtree  one  sultry  sabbath  afternoon,  Hag  Chivychas  Eve, 
in  prefall  paradise  peace  by  following  his  plough  for  roodes  in  the 
rere  garden  of  mobhouse,  ye  olde  marine  hotel,  when  royalty  was 
announced  by  runner  to  have  been  pleased  to  have  halted  itself  on 
the  highroad  along  which  a  leisureloving  dogfox  had  cast  fol- 
lowed, also  at  walking  pace,  by  a  lady  pack  of  cocker  spaniels.",Manhood,,,2,general
992,I,"30 I flagrant  marl,  jingling  his  turnpike  keys  and  bearing  aloft  amid 
the  fixed  pikes  of  the  hunting  party  a  high  perch  atop  of  which  a 
flowerpot  was  fixed  earthside  hoist  with  care.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
1264,I,"50 I tile  average  human  cloudyphiz,  whereas  sallow  has  long  daze 
faded,  frequently  altered  its  ego  with  the  possing  of  the  showers 
(Not  original!).",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
