,DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
42,9/22/23,23:41:18,EXP,59690095570.0,BOT 100.0 COIN UPON Option Assignment,,,"-7,500.00","22,804.74"
44,9/22/23,23:41:18,EXP,59690095574.0,BOT 100.0 ORCL UPON Option Assignment,,,"-11,000.00","11,804.74"
60,9/30/23,01:03:06,EXP,59854590061.0,Automatic Expiration,-0.07,,"7,500.00","19,493.00"
70,10/5/23,23:42:25,EXP,59982303673.0,BOT 100.0 CVNA UPON Option Assignment,,,"-4,600.00","14,954.02"
89,10/13/23,23:38:01,EXP,60172045149.0,BOT 100.0 MRNA UPON Option Assignment,,,"-9,500.00","5,789.04"
141,11/11/23,00:54:18,EXP,79569748306.0,SOLD -100.0 ORCL UPON ORACLE CORP,-0.1,,"11,000.00","17,627.14"
364,3/7/24,01:05:49,EXP,80397493674.0,BOT 100.0 GOOGL UPON ALPHABET INC. CLASS A,,,"-13,800.00","27,189.10"
392,3/16/24,01:19:22,EXP,80487206062.0,Automatic Expiration,-0.13,,"13,800.00","41,559.98"
545,5/18/24,02:04:37,EXP,81331220919.0,SOLD -100.0 CVNA UPON CARVANA CO CLASS A,-0.04,,"3,000.00","47,846.01"
547,5/20/24,13:11:11,EXP,1000538387766.0,BOT +1 MRNA 100 21 JUN 24 75 CALL @65.55 CBOE,-0.01,-0.65,"-6,555.00","41,290.35"
548,5/20/24,13:12:02,EXP,1000538387808.0,SOLD -100 MRNA @140.15,-0.13,,"14,015.00","55,305.22"
600,6/21/24,01:08:49,EXP,82535221483.0,BOT 200.0 W UPON WAYFAIR INC CLASS A,,,"-12,200.00","43,761.46"
